"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","agent_model","center_threshold","device","disable_completion_preface","disable_wandb","early_stop_max_years","exploiter_model","exploiter_powers","exploiter_prompt","fourbit_compute_dtype","log_level","manual_orders_path","map_name","max_completion_errors","max_message_rounds","max_years","no_press","no_press_policy","no_press_powers","num_exploiter_powers","num_prompt_ablations","num_super_exploiter_powers","output_folder","project","prompt_ablations","save","seed","summarizer_model","super_exploiter_powers","temperature","top_p","unit_threshold","_progress/hours_remaining","_progress/percent_done","_progress/year_fractional","benchmark/competence_score","benchmark/nash_social_welfare_baseline","benchmark/nash_social_welfare_baseline_smoothed","benchmark/nash_social_welfare_exploiter","benchmark/nash_social_welfare_exploiter_smoothed","benchmark/nash_social_welfare_global","benchmark/nash_social_welfare_global_smoothed","builds/game_build_ratio","builds/game_builds_avg","builds/game_disbands_avg","builds/phase_build_ratio","builds/phase_builds_num","builds/phase_disbands_num","combat/game_conflicts_avg","combat/game_conflicts_max","combat/game_conflicts_min","combat/game_conflicts_sum","combat/phase_conflicts_num","commands/avg_convoys_num","commands/avg_holds_num","commands/avg_moves_num","commands/avg_moves_ratio","commands/avg_supports_num","commands/avg_supports_ratio","commands/phase_convoy_num","commands/phase_hold_num","commands/phase_move_num","commands/phase_move_ratio","commands/phase_support_num","commands/phase_support_ratio","conquest/centers_owned_num","conquest/centers_owned_ratio","conquest/game_centers_gained_avg","conquest/game_centers_gained_sum","conquest/game_centers_lost_avg","conquest/game_centers_lost_sum","conquest/phase_centers_gained_num","conquest/phase_centers_lost_num","cost/completion_tokens_total","cost/estimated_token_cost_gpt4-usd","cost/prompt_tokens_total","fatal_exception_trace","messages/game_messages_per_completion","messages/game_public_ratio","messages/game_similarity_avg","messages/phase_message_per_completion","messages/phase_messages_total","messages/phase_public_ratio","messages/phase_similarity_avg","meta/year_fractional","model/game_completion_non_error_ratio","model/game_completion_time_sec_avg","model/game_num_completion_errors","model/phase_completion_non_error_ratio","model/phase_completion_time_sec_avg","model/phase_num_completion_errors","orders/game_valid_ratio","orders/phase_total_num","orders/phase_valid_num","orders/phase_valid_ratio","orders/phase_valid_ratio_type_A","orders/phase_valid_ratio_type_M","orders/phase_valid_ratio_type_R","power/baseline_mean","power/baseline_std","power/exploiter_mean","power/exploiter_std","power/global_mean","power/global_std","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total","welfare_aggregation/max","welfare_aggregation/mean","welfare_aggregation/median","welfare_aggregation/min","welfare_aggregation/total","welfare_gain/game_avg_avg","welfare_gain/game_max_avg","welfare_gain/game_median_avg","welfare_gain/game_min_avg","welfare_gain/phase_avg","welfare_gain/phase_max","welfare_gain/phase_median","welfare_gain/phase_min"
"vibrant-sweep-12","exv6297g","finished","-","gabrielmukobi","","2023-09-17T02:12:54.000Z","839","4uyfv6za","fl7w2q2r","","","2023-09-17T02:26:53.000Z","2023-09-17T02:26:53.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","11","0","games","welfare-diplomacy-v3","no_wp_tradeoff,no_reasoning,orders_after_messages,no_message_instructions,no_example_orders,oppression_points,no_prev_dialogue_summaries,only_1_phase_order_history,no_sc_ownerships,no_unit_adjacencies,no_phase_instructions","false","4","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.6291733236504479","","","","","0","0.000006313852610533337","NaN","0","0","","0","0","0.7","5","0","7","1","0","18.1","1.2","0.05454545454545454","2.7","0.12272727272727273","0","20","1","0.045454545454545456","1","0.045454545454545456","23","0.6764705882352942","0.2","1","0","0","0","0","25964","15.02187","448801","","0.9523809523809524","0.7325395793145908","0.11351251788393772","1.0476190476190477","22","0.8181818181818182","0.0897551357438481","","1","1.6905673852042544","0","1","1.8505492437453497","0","0.2110493827160494","27","0","0","0","0.7857142857142857","","","","","","3.2142857142857144","0.3642156795423418","3","3","3","4","3","4","3","3","3","3","3","3","4","3","0","0","0","2","0","0","0","58.42857142857143","81","60","30","1216.7142857142858","1705","1268","862","1275.142857142857","1763","1324","898","","","","","0","0","0","0","0","2","0.2857142857142857","0","0","2","0.05714285714285714","0.4","0","0","0.14285714285714285","1","0","0"
"charmed-sweep-11","j7wwv2f8","finished","-","gabrielmukobi","","2023-09-17T02:07:39.000Z","840","4uyfv6za","zexs03xu","","","2023-09-17T02:21:39.000Z","2023-09-17T02:21:39.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","11","0","games","welfare-diplomacy-v3","no_wp_tradeoff,no_reasoning,orders_after_messages,no_message_instructions,no_example_orders,oppression_points,no_prev_dialogue_summaries,only_1_phase_order_history,no_sc_ownerships,no_unit_adjacencies,no_phase_instructions","false","3","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.6273500646049666","","","","","0","0.000006690372243755003","NaN","0","0","","0","0","1.2","2","0","12","1","0","17.4","3.1","0.14090909090909093","1.5","0.06818181818181818","0","19","3","0.13636363636363635","0","0","23","0.6764705882352942","0.2","1","0","0","0","0","26610","13.89279","409873","","1.0476190476190477","0.45284573250464727","0.1082284925501254","0.9523809523809524","20","0.45","0.07506468513986934","","1","1.714046904397389","0","1","1.7946875095367432","0","0.2055796055796056","39","0","0","0","0.375","","","","","","3.2142857142857144","0.3642156795423418","3","3","3","4","3","4","3","3","3","3","3","3","4","3","0","0","0","3","0","0","0","51.523809523809526","93","50","6","1095.904761904762","1545","1118","856","1147.428571428571","1601","1167","890","","","","","0","0","0","0","0","3","0.42857142857142855","0","0","3","0.08571428571428572","0.6","0","0","0.14285714285714285","1","0","0"
"wild-sweep-10","exv6297g","finished","-","gabrielmukobi","","2023-09-17T01:59:05.000Z","825","4uyfv6za","oggfuyqt","","","2023-09-17T02:12:50.000Z","2023-09-17T02:12:50.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","11","0","games","welfare-diplomacy-v3","no_wp_tradeoff,no_reasoning,orders_after_messages,no_message_instructions,no_example_orders,oppression_points,no_prev_dialogue_summaries,only_1_phase_order_history,no_sc_ownerships,no_unit_adjacencies,no_phase_instructions","false","2","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.600498545572075","","","","","0","0.0000010000000000000004","NaN","0","0","","0","0","0.6","3","0","6","0","0","18.7","0.9","0.04090909090909091","2.4","0.10909090909090909","0","18","0","0","4","0.18181818181818185","22","0.6470588235294118","0","0","0","0","0","0","24970","14.16351","422177","","0.961904761904762","0.643178214699954","0.13402084700810002","0.8571428571428571","18","0.9444444444444444","0.09506154011095908","","1","1.653818981231205","0","1","1.729735499336606","0","0.15443681318681315","35","0","0","0","0.3611111111111111","","","","","","3.142857142857143","0.3499271061118826","3","3","3","3","3","4","3","3","3","3","3","3","4","3","0","0","0","0","0","0","0","49.333333333333336","94","54","10","1123.7142857142858","1402","1133","829","1173.047619047619","1472","1191","859","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"neat-sweep-9","exv6297g","finished","-","gabrielmukobi","","2023-09-17T01:45:22.000Z","816","4uyfv6za","40acqxp7","","","2023-09-17T01:58:58.000Z","2023-09-17T01:58:58.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","11","0","games","welfare-diplomacy-v3","no_wp_tradeoff,no_reasoning,orders_after_messages,no_message_instructions,no_example_orders,oppression_points,no_prev_dialogue_summaries,only_1_phase_order_history,no_sc_ownerships,no_unit_adjacencies,no_phase_instructions","false","1","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.6020639975206539","","","","","0","0.000005718607764386374","NaN","0","0","","0","0","0.2","1","0","2","1","0","19.1","1","0.045454545454545456","1.9","0.08636363636363635","0","16","5","0.2272727272727273","1","0.045454545454545456","23","0.6764705882352942","0.2","1","0","0","1","0","24835","14.0757","419520","","0.9206349206349208","0.6512037261612814","0.1327522963584972","0.8571428571428571","18","0.9444444444444444","0.12412835316268236","","1","1.6426816440763927","0","1","1.5994454565502347","0","0.12972140432666748","37","1","0.0625","0.0625","0.4298245614035087","","","","","","3.2142857142857144","0.5248906591678238","3","3","3","3","3","5","3","3","3","3","3","3","4","3","0","0","0","0","0","1","0","45.80952380952381","93","48","16","1185.5238095238096","1430","1193","871","1231.3333333333333","1464","1286","899","","","","","0","0","0","0","0","1","0.14285714285714285","0","0","1","0.02857142857142857","0.2","0","0","0.14285714285714285","1","0","0"
"exalted-sweep-8","exv6297g","finished","-","gabrielmukobi","","2023-09-17T01:30:53.000Z","865","4uyfv6za","dcxnatp5","","","2023-09-17T01:45:18.000Z","2023-09-17T01:45:18.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","11","0","games","welfare-diplomacy-v3","no_wp_tradeoff,no_reasoning,orders_after_messages,no_message_instructions,no_example_orders,oppression_points,no_prev_dialogue_summaries,only_1_phase_order_history,no_sc_ownerships,no_unit_adjacencies,no_phase_instructions","false","0","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.617024587612823","","","","","0","0.000007196857758133476","NaN","0","0","","0","0","0.9","4","0","9","1","0","18.1","2.4","0.10909090909090909","1.5","0.06818181818181818","0","17","5","0.2272727272727273","0","0","23","0.6764705882352942","0.2","1","0","0","0","0","27623","14.55465","429909","","1.0671428571428572","0.5472641273537102","0.09621483986838492","0.7619047619047619","16","0.625","0.11388675299080958","","0.9968253968253968","1.773249392168862","1","1","1.5535808177221389","0","0.17777777777777776","35","0","0","0","0.7777777777777778","","","","","","3.2142857142857144","0.5248906591678238","3","3","3","3","3","5","3","3","3","3","3","3","4","3","0","0","0","0","0","5","0","43.285714285714285","77","48","6","1048.571428571429","1253","1068","872","1091.857142857143","1330","1102","916","","","","","0","0","0","0","0","5","0.7142857142857143","0","0","5","0.14285714285714285","1","0","0","0.14285714285714285","1","0","0"
"giddy-sweep-7","j7wwv2f8","finished","-","gabrielmukobi","","2023-09-17T01:30:19.000Z","2236","4uyfv6za","w83b0wsg","","","2023-09-17T02:07:35.000Z","2023-09-17T02:07:35.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","1","0","games","welfare-diplomacy-v3","oppression_points","false","2","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.8625102409089337","","","","","1.2317059384182405","1.2317071565080977","0.06666666666666667","0.2","3.2","0","0","3","0.1","1","0","1","0","0","14.8","0.7","0.04062388591800357","0.1","0.0058823529411764705","0","10","0","0","0","0","23","0.6764705882352942","0.2","1","0","0","0","0","83068","34.63488","988360","","2.085238095238095","0.07668026849051116","0.049359290909254526","2.142857142857143","45","0.13333333333333333","0.05534297873326846","","0.9936507936507936","6.05295814673106","2","1","5.90274733588809","0","0.9174093408407136","11","9","0.8181818181818182","0.8181818181818182","1","","","","","","2.142857142857143","0.6388765649999398","3","3","4","3","3","4","3","2","0","2","0","0","2","1","2","10","7","15","8","5","4","222.57142857142856","278","225","158","3333.285714285714","3734","3311","2915","3555.8571428571427","3962","3543","3073","","","","","0","0","0","0","0","15","7.285714285714286","7","2","51","1.457142857142857","3","1.2","0.4","2.2857142857142856","3","2","1"
"whole-sweep-6","exv6297g","finished","-","gabrielmukobi","","2023-09-17T00:51:46.000Z","2339","4uyfv6za","afo4ahk2","","","2023-09-17T01:30:45.000Z","2023-09-17T01:30:45.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","1","0","games","welfare-diplomacy-v3","oppression_points","false","0","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.8713829235397862","","","","","0","0.019775448796235492","0","0","2","0","0","1","0.9","2","0","9","1","0","16.2","1.7","0.09542418365947776","0.1","0.0058823529411764705","0","11","2","0.15384615384615383","0","0","22","0.6470588235294118","0","0","0","0","0","0","88719","37.54371","1074019","","2.184126984126984","0.013484168534127415","0.0448642451165269","2.3333333333333335","49","0.061224489795918366","0.04963588421391196","","1","6.3844270123375795","0","1","7.480992339906239","0","0.9670899470899472","4","4","1","1","1","","","","","","2.4285714285714284","0.41649656391752143","3","3","3","3","3","4","3","1","2","3","3","2","0","1","7","2","0","0","4","11","6","272.2857142857143","437","268","158","3739.095238095238","4250","3733","3323","4011.380952380952","4482","4051","3481","","","","","0","0","0","0","0","11","4.285714285714286","4","0","30","0.8571428571428573","2.4","0.8","0","1.4285714285714286","4","1","0"
"ancient-sweep-5","j7wwv2f8","finished","-","gabrielmukobi","","2023-09-17T00:49:46.000Z","2429","4uyfv6za","rdayzvgl","","","2023-09-17T01:30:15.000Z","2023-09-17T01:30:15.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","1","0","games","welfare-diplomacy-v3","none","false","4","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.8709114015976761","","","","","0","0.020139902585416997","0.3333333333333333","0.6","1.6","0","0","1","0.1","1","0","1","0","0","17.3","1","0.05334048691246833","0.1","0.00625","0","18","0","0","0","0","24","0.7058823529411765","0.4","2","0","0","0","0","93655","37.14696","1050922","","2.4012698412698414","0.03697015724058048","0.0431176412859978","2.8","56","0.017857142857142856","0.043317776144669626","","0.9904761904761904","6.597875150612422","3","0.9523809523809524","7.794307398796081","1","0.9163756613756614","6","4","0.7","0.7","0.9708333333333332","","","","","","2.9285714285714284","0.6776309271789385","3","3","4","3","3","5","3","3","2","1","2","3","4","2","0","5","14","4","0","5","3","294.7","424","311","130","3852.5","4523","3778.5","3347","4147.2","4928","4083","3484","","","","","0","0","0","0","0","14","4.428571428571429","4","0","31","0.8857142857142858","2.8","0.8","0","1","3","1","0"
"still-sweep-4","exv6297g","finished","-","gabrielmukobi","","2023-09-17T00:12:03.000Z","2380","4uyfv6za","e2pcwzv0","","","2023-09-17T00:51:43.000Z","2023-09-17T00:51:43.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","1","0","games","welfare-diplomacy-v3","none","false","3","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.8388549987896393","","","","","0","0.02254108625976847","0","0","1.8","","0","0","0","0","0","0","0","0","16.1","0.4","0.02077922077922078","0.5","0.02416267942583732","0","13","0","0","0","0","22","0.6470588235294118","0","0","0","0","0","0","91647","37.26531","1058883","","2.295238095238095","0.057556774380303787","0.04197208492376329","2.6666666666666665","56","0.08928571428571429","0.047743883011311807","","1","6.474823652751863","0","1","6.928648619424729","0","0.8695061728395063","6","2","0.3333333333333333","0.3333333333333333","1","","","","","","2.5","0.5345224838248488","3","3","3","3","3","4","3","3","3","0","1","2","2","2","0","0","11","7","5","8","3","246.66666666666663","324","244","140","3735.2380952380954","4409","3697","3105","3981.904761904762","4681","3933","3275","","","","","0","0","0","0","0","11","4.857142857142857","5","0","34","0.9714285714285712","2.2","0.8","0","1.2857142857142858","3","1","0"
"logical-sweep-3","j7wwv2f8","finished","-","gabrielmukobi","","2023-09-17T00:11:03.000Z","2319","4uyfv6za","nryn9hyq","","","2023-09-17T00:49:42.000Z","2023-09-17T00:49:42.000Z","john5.stanford.edu","","2c66157266fd0c23d64c93157f0f70000a7cb733","","","","claude-instant-1.2","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","5","false","0","","0","1","0","games","welfare-diplomacy-v3","none","false","2","claude-instant-1.2","","1","0.9","10","0","100","5.9","0.8714513953729641","","","","","0","0.12439071856313803","0.08333333333333333","0.2","1.8","0","0","3","0","0","0","0","0","0","17.8","0.6","0.029292929292929298","0.2","0.010526315789473684","0","17","0","0","0","0","23","0.6764705882352942","0.2","1","0","0","0","0","87335","36.26346","1034112","","2.224126984126984","0.03236207979044263","0.04621464379530247","2.5238095238095237","53","0.07547169811320754","0.04572315971802904","","0.9904761904761904","6.293614314548552","3","1","6.613900570642381","0","0.9474074074074074","7","5","0.7142857142857143","0.7142857142857143","0.9523809523809524","","","","","","2.642857142857143","0.7423074889580903","3","3","3","4","3","4","3","1","2","3","2","2","4","0","4","3","0","6","5","2","10","249.1428571428571","316","252","173","3789","4341","3770","3330","4038.142857142858","4575","4004","3552","","","","","0","0","0","0","0","10","4.285714285714286","4","0","30","0.8571428571428571","2","1","0","1.2857142857142858","3","1","0"
