"Name","State","Created","Updated","End Time","Runtime","Sweep","map_name","max_years","seed","_progress/hours_remaining","_progress/percent_done","_progress/year_fractional","ID","Agent","Notes","User","Group","Job Type","Tags","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","agent_model","center_threshold","device","disable_completion_preface","disable_wandb","early_stop_max_years","exploiter_model","exploiter_powers","exploiter_prompt","fourbit_compute_dtype","log_level","max_completion_errors","max_message_rounds","no_press","no_press_policy","no_press_powers","num_exploiter_powers","num_prompt_ablations","num_super_exploiter_powers","output_folder","project","prompt_ablations","save","summarizer_model","super_exploiter_powers","temperature","top_p","unit_threshold","benchmark/competence_score","benchmark/nash_social_welfare_baseline","benchmark/nash_social_welfare_baseline_smoothed","benchmark/nash_social_welfare_exploiter","benchmark/nash_social_welfare_exploiter_smoothed","benchmark/nash_social_welfare_global","benchmark/nash_social_welfare_global_smoothed","builds/game_build_ratio","builds/game_builds_avg","builds/game_disbands_avg","builds/phase_build_ratio","builds/phase_builds_num","builds/phase_disbands_num","combat/game_conflicts_avg","combat/game_conflicts_max","combat/game_conflicts_min","combat/game_conflicts_sum","combat/phase_conflicts_num","commands/avg_convoys_num","commands/avg_holds_num","commands/avg_moves_num","commands/avg_moves_ratio","commands/avg_supports_num","commands/avg_supports_ratio","commands/phase_convoy_num","commands/phase_hold_num","commands/phase_move_num","commands/phase_move_ratio","commands/phase_support_num","commands/phase_support_ratio","conquest/centers_owned_num","conquest/centers_owned_ratio","conquest/game_centers_gained_avg","conquest/game_centers_gained_sum","conquest/game_centers_lost_avg","conquest/game_centers_lost_sum","conquest/phase_centers_gained_num","conquest/phase_centers_lost_num","cost/completion_tokens_total","cost/estimated_token_cost_gpt4-usd","cost/prompt_tokens_total","fatal_exception_trace","messages/game_messages_per_completion","messages/game_public_ratio","messages/game_similarity_avg","messages/phase_message_per_completion","messages/phase_messages_total","messages/phase_public_ratio","messages/phase_similarity_avg","meta/year_fractional","model/game_completion_non_error_ratio","model/game_completion_time_sec_avg","model/game_num_completion_errors","model/phase_completion_non_error_ratio","model/phase_completion_time_sec_avg","model/phase_num_completion_errors","orders/game_valid_ratio","orders/phase_total_num","orders/phase_valid_num","orders/phase_valid_ratio","orders/phase_valid_ratio_type_A","orders/phase_valid_ratio_type_M","orders/phase_valid_ratio_type_R","power/baseline_mean","power/baseline_std","power/exploiter_mean","power/exploiter_std","power/global_mean","power/global_std","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total","welfare_aggregation/max","welfare_aggregation/mean","welfare_aggregation/median","welfare_aggregation/min","welfare_aggregation/total","welfare_gain/game_avg_avg","welfare_gain/game_max_avg","welfare_gain/game_median_avg","welfare_gain/game_min_avg","welfare_gain/phase_avg","welfare_gain/phase_max","welfare_gain/phase_median","welfare_gain/phase_min"
"deep-sweep-9","finished","2023-09-16T00:21:00.000Z","2023-09-16T04:45:23.000Z","2023-09-16T04:45:23.000Z","15863","hg5d7y1k","standard","10","2","0.22533437997783504","93.33333333333331","10.9","im0mn9j8","0m7r00sd","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.8754815537326041","","","","","0","0.0000010000000000000004","0.7142857142857143","2.25","1.25","0.2857142857142857","2","5","5.3","11","1","106","6","0","12.9","12.65","0.485504292004292","0.55","0.022242174492174492","0","18","10","0.35714285714285715","0","0","28","0.8235294117647058","0.75","6","0.375","3","0","1","201244","77.75753999999999","2189430","","1.8917000133386688","0.019692558880521436","0.12061562091601576","1.4761904761904765","31","0","0.08955421718965938","","0.9761904761904764","3.88376358376684","14","1","3.563047619047619","0","0.8267247732426303","18","16","0.8","0.8","0.8714285714285714","","","","","","4","1.4142135623730951","3","3","3","5","3","7","4","3","3","3","5","3","7","4","0","0","0","0","0","0","0","288.14285714285717","665","240","146","5158.761904761905","5642","5168","4659","5446.9047619047615","5835","5433","4899","60","1.828645270317793","704","764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"desert-sweep-8","finished","2023-09-16T00:19:57.000Z","2023-09-16T04:43:02.000Z","2023-09-16T04:43:02.000Z","15785","hg5d7y1k","standard","10","0","0.8407825541069852","86.66666666666667","10.6","np8fyefw","3a8n214l","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.9097854928582484","","","","","0","0.0000010000000000000004","0.6736111111111112","3","2.3333333333333335","0.16666666666666666","1","5","4.5","8","0","90","1","0","16.35","10.3","0.3857674222329394","0.65","0.02525982638051604","0","28","2","0.06666666666666667","0","0","30","0.8823529411764706","1.3333333333333333","8","0.5","3","0","1","195720","72.23828999999999","2016503","","2.1986601118180067","0.018738279052903203","0.10697843123024033","2.3684210526315788","45","0","0.09741787006778758","","0.9761904761904762","4.010069582610372","13","0.9047619047619048","4.312842105263158","2","0.870813061207798","83","75","0.9157894736842104","1","0.9157894736842104","","","","","","4.285714285714286","1.0301575072754257","4","3","4","5","6","5","3","4","3","4","5","6","5","3","0","0","0","0","0","0","0","346.7894736842105","593","367","152","5074.210526315789","5604","5023","4582","5421","5981","5357","4785","146","1.7916900208219886","847","993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fine-sweep-7","finished","2023-09-15T23:17:07.000Z","2023-09-16T02:33:23.000Z","2023-09-16T02:33:23.000Z","11776","hg5d7y1k","standard","7","0","0.7250788327833898","85.71428571428571","7.6","rv1f8rv7","fstptqox","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.9108050234684222","","","","","0","0.0000010000000000000004","1","3.25","0","1","6","0","3.357142857142857","6","1","47","3","0","16.071428571428573","10.5","0.3832697725554867","1.2857142857142858","0.04847454133168418","0","20","9","0.3","1","0.03333333333333333","30","0.8823529411764706","2","8","0.25","1","1","1","132949","44.46015","1216107","","2.247277917014759","0.004642732354996505","0.10922952915705698","2","42","0","0.13704132085635987","","0.9841269841269842","3.83023178780284","6","1","4.181142857142857","0","0.8659351451018117","86","84","0.9761904761904762","1","0.9761904761904762","","","","","","4.285714285714286","0.880630571852711","3","4","4","5","4","6","4","3","4","4","5","4","6","4","0","0","0","0","0","0","0","312.4761904761905","544","304","189","4087.571428571429","4537","4066","3735","4400.047619047619","4890","4379","4080","114","1.2971573513932526","1016","1130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"misty-sweep-6","finished","2023-09-15T20:04:42.000Z","2023-09-16T00:19:48.000Z","2023-09-16T00:19:48.000Z","15306","hg5d7y1k","standard","6","2","0","100","6.9","vclfh143","3a8n214l","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.9206920551610094","","","","","0","0.0000010000000000000004","0.7440476190476191","3","1.6666666666666667","0.2857142857142857","2","5","1.6666666666666667","5","0","20","0","0","15.75","8.916666666666666","0.3513168159001492","1.5","0.05806161431161431","0","27","3","0.1","0","0","30","0.8823529411764706","1.3333333333333333","8","0.5","3","0","1","129807","43.719089999999994","1197689","","2.2130047340573658","0.016640331164656203","0.1298782426513033","1","20","0","0.1502474152722221","","0.9735449735449736","3.867962315511001","10","0.9523809523809524","3.38075","1","0.906178250761584","14","13","0.9444444444444444","0.9444444444444444","0.9666666666666668","","","","","","4.285714285714286","1.0301575072754257","6","5","4","3","4","5","3","6","5","4","3","4","5","3","0","0","0","0","0","0","0","275.7","1056","202","124","4012.95","5064","3904","3520","4288.65","5276","4180","3714","116","1.464323726948351","892","1008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ethereal-sweep-5","finished","2023-09-15T20:02:39.000Z","2023-09-16T00:20:52.000Z","2023-09-16T00:20:52.000Z","15493","hg5d7y1k","standard","5","3","0.18031953883290175","93.33333333333331","5.9","sjluiw2h","0m7r00sd","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.8971689260499521","","","","","0","0.0000010000000000000004","1","4","0","1","5","0","4.7","11","1","47","11","0.1","9.3","14.7","0.5786272986272987","0.9","0.03639160839160839","0","6","21","0.7777777777777778","0","0","30","0.8823529411764706","2","8","0.75","3","3","3","95287","30.52437","826905","","2.1120658789831723","0.02955808339159361","0.10406858944755629","2.55","51","0.0392156862745098","0.07843652825717544","","0.9727891156462584","3.769195470819907","8","0.9523809523809524","3.67125","1","0.8363647213271275","32","26","0.8","0.8","0.8625","","","","","","4.285714285714286","1.27775312999988","4","4","3","4","3","7","5","4","4","3","4","3","7","5","0","0","0","0","0","0","0","285.4","527","256.5","142","3432.85","3855","3425","3155","3718.25","4258","3752","3361","162","2.1015902129001915","523","685","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fanciful-sweep-4","finished","2023-09-15T20:00:17.000Z","2023-09-15T23:16:57.000Z","2023-09-15T23:16:57.000Z","11800","hg5d7y1k","standard","5","2","0.185528680183605","93.33333333333331","5.6","avhrex0p","fstptqox","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.8691484457030675","","","","","0","0.0000010000000000000004","0.85","2.25","0.75","0.4","2","3","5","10","0","50","4","0","10.8","13","0.5099980534763142","1.4","0.055472385907168506","0","19","7","0.25","2","0.07142857142857142","28","0.8235294117647058","1.5","6","0.5","2","1","1","99358","30.99432","834428","","1.9789115646258504","0.02106881832050588","0.1148090942812979","2.0952380952380953","44","0","0.11905448571308208","","0.9897959183673468","3.869315136054422","3","1","4.06952380952381","0","0.7941200069771498","81","71","0.8690476190476191","0.7142857142857143","0.8690476190476191","","","","","","4","0.9258200997725514","3","5","3","4","3","5","5","3","5","3","4","3","5","5","0","0","0","0","0","0","0","317.3809523809524","683","293","154","3378.3809523809523","4059","3261","3005","3695.7619047619046","4539","3554","3306","72","1.4105335478670895","934","1006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"noble-sweep-2","finished","2023-09-15T17:47:45.000Z","2023-09-15T20:02:37.000Z","2023-09-15T20:02:37.000Z","8092","hg5d7y1k","standard","4","2","0.3342071433339779","91.66666666666666","4.9","s39txqrh","0m7r00sd","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.8748499293390934","","","","","0","0.0000010000000000000004","1","2.6666666666666665","0","1","3","0","4.625","9","0","37","6","0","10.375","13.5","0.5582750582750583","0.625","0.024439102564102564","0","15","10","0.38461538461538464","1","0.038461538461538464","27","0.7941176470588235","1.6666666666666667","5","0","0","1","0","78778","23.60523","629285","","1.8710412394622928","0.0017825311942959","0.11156412907733654","1.6666666666666667","35","0","0.12481783831231606","","0.987012987012987","4.054822579175211","3","1","3.5400476190476193","0","0.8434191539454697","19","19","1","1","0.8468253968253967","","","","","","3.857142857142857","0.8329931278350429","3","4","3","4","3","5","5","3","4","3","4","3","5","5","0","0","0","0","0","0","0","293.57142857142856","648","250","129","3125.8571428571427","3668","3068","2766","3419.4285714285716","4122","3358","2915","85","2.5411848542280495","835","920","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"smooth-sweep-1","finished","2023-09-15T17:47:45.000Z","2023-09-15T20:00:14.000Z","2023-09-15T20:00:14.000Z","7949","hg5d7y1k","standard","3","3","0","100","3.9","5pyosu0t","fstptqox","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.8558214026351281","","","","","0","0.0000010000000000000004","1","3","0","1","3","0","2.6666666666666665","5","0","16","5","0","12.833333333333334","9.666666666666666","0.40669301712779976","0.8333333333333334","0.03391304347826087","0","9","14","0.56","2","0.08","27","0.7941176470588235","1.6666666666666667","5","0","0","2","0","70253","18.7944","485974","","2.421957671957672","0.01758193782784587","0.09253120057131908","2.4","48","0.041666666666666664","0.09586095883245008","","0.978835978835979","4.251282539682538","4","0.9523809523809524","4.70475","1","0.794510582010582","20","17","0.8571428571428571","0.8571428571428571","0.7958333333333333","","","","","","3.857142857142857","0.8329931278350429","3","4","3","4","3","5","5","3","4","3","4","3","5","5","0","0","0","0","0","0","0","378.7","666","399","126","3023.3","3753","3014","2611","3402","3907","3408","2866","80","1.2536322069354355","828","908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"classic-sweep-3","finished","2023-09-15T17:47:45.000Z","2023-09-15T20:04:40.000Z","2023-09-15T20:04:40.000Z","8215","hg5d7y1k","standard","4","4","0","100","4.9","0wtwlinw","3a8n214l","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.8493380825114571","","","","","0","0.0000010000000000000004","0.7321428571428572","3.25","1.75","1","3","0","2","3","0","16","3","0","12","9.625","0.4002272727272728","2.375","0.09693181818181816","0","14","8","0.32","3","0.12","27","0.7941176470588235","1.25","5","0.5","2","2","0","85513","25.54308","680410","","1.93078529657477","0.009250744871592049","0.11927870227790878","2.0952380952380953","44","0","0.14544246896354962","","0.9642857142857144","4.132396157059316","9","1","3.5420952380952375","0","0.7896108861898335","20","16","0.875","0.875","0.795","","","","","","3.857142857142857","0.989743318610787","5","4","4","3","2","4","5","5","4","4","3","2","4","5","0","0","0","0","0","0","0","274.5238095238095","479","275","118","3162.7619047619046","3787","3181","2821","3437.285714285714","3960","3414","2965","55","0.8883576886728406","391","446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"still-sweep-41","finished","2023-09-15T08:25:33.000Z","2023-09-15T12:48:59.000Z","2023-09-15T12:48:59.000Z","15806","orbq6erj","standard_welfare","9","4","0","100","9.9","txvhkfg7","4o5s3ff5","-","gabrielmukobi","","","","john11.stanford.edu","","4055415d84e45ba3017a5de176d958df94144296","","","","gpt-3.5-turbo-16k-0613","10","auto","false","false","0","","","","32","INFO","30","3","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","gpt-3.5-turbo-16k-0613","","1","0.9","10","0.911485966489693","","","","","1.6681810119012228","1.668182020094653","0.4270328599275968","8.555555555555555","12.444444444444445","0.32","8","17","1.4444444444444444","4","0","26","3","0","8","7.055555555555555","0.4892108744082429","0.5","0.02672448165869219","0","12","7","0.3684210526315789","0","0","29","0.8529411764705882","0.7777777777777778","7","0.2222222222222222","2","0","0","188159","77.23884","2198310","","2.21031746031746","0.021473638171764224","0.10465100662946104","2.380952380952381","50","0.04","0.118830758124434","","0.9929453262786596","4.373950176366843","4","1","4.1670476190476196","0","0.8885713967198314","98","98","1","1","0.9222222222222224","","","","","","2.857142857142857","0.8329931278350429","5","3","4","6","3","4","4","4","2","0","0","2","0","3","13","15","19","17","13","15","14","307","490","345","173","5067.047619047619","5592","5150","4555","5374.047619047619","5942","5353","4964","58","0.9029596080072224","1309","1367","0","0","0","0","0","19","15.142857142857142","15","13","106","1.6825396825396826","3.6666666666666665","1.2222222222222223","0.2222222222222222","2.5714285714285716","6","1","1"
