"Name","ID","State","User","Group","Job Type","Updated","End Time","Description","GitHub","GPU Count","GPU Type","agent_model","max_completion_errors","seed","summarizer_model","center_threshold","disable_completion_preface","num_super_exploiter_powers","super_exploiter_powers","unit_threshold","device","disable_wandb","early_stop_max_years","exploiter_model","exploiter_powers","exploiter_prompt","fourbit_compute_dtype","log_level","map_name","max_message_rounds","max_years","no_press","no_press_policy","no_press_powers","num_exploiter_powers","num_prompt_ablations","output_folder","project","prompt_ablations","save","temperature","top_p","manual_orders_path","Agent","Commit","Created","Runtime","Hostname","Notes","Sweep","_progress/hours_remaining","_progress/percent_done","_progress/year_fractional","benchmark/competence_score","benchmark/nash_social_welfare_global","benchmark/nash_social_welfare_global_smoothed","builds/game_build_ratio","builds/game_builds_avg","builds/game_disbands_avg","builds/phase_build_ratio","builds/phase_builds_num","builds/phase_disbands_num","combat/game_conflicts_avg","combat/game_conflicts_max","combat/game_conflicts_sum","commands/avg_holds_num","commands/avg_moves_num","commands/avg_moves_ratio","commands/avg_supports_num","commands/avg_supports_ratio","commands/phase_hold_num","commands/phase_move_num","commands/phase_move_ratio","commands/phase_support_ratio","conquest/centers_owned_num","conquest/centers_owned_ratio","conquest/game_centers_gained_avg","conquest/game_centers_gained_sum","conquest/game_centers_lost_avg","conquest/game_centers_lost_sum","cost/completion_tokens_total","cost/estimated_token_cost_gpt4-usd","cost/prompt_tokens_total","messages/game_messages_per_completion","messages/game_public_ratio","messages/game_similarity_avg","messages/phase_message_per_completion","messages/phase_messages_total","messages/phase_public_ratio","messages/phase_similarity_avg","meta/year_fractional","model/game_completion_non_error_ratio","model/game_completion_time_sec_avg","model/game_num_completion_errors","model/phase_completion_non_error_ratio","model/phase_completion_time_sec_avg","model/phase_num_completion_errors","orders/game_valid_ratio","orders/phase_total_num","orders/phase_valid_num","orders/phase_valid_ratio","orders/phase_valid_ratio_type_A","orders/phase_valid_ratio_type_M","power/global_mean","power/global_std","score/centers/AUS","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare_aggregation/max","welfare_aggregation/mean","welfare_aggregation/median","welfare_aggregation/min","welfare_aggregation/total","welfare_gain/game_avg_avg","welfare_gain/game_max_avg","welfare_gain/game_median_avg","welfare_gain/game_min_avg","welfare_gain/phase_avg","welfare_gain/phase_max","welfare_gain/phase_median","welfare_gain/phase_min","Tags","benchmark/nash_social_welfare_baseline","benchmark/nash_social_welfare_baseline_smoothed","benchmark/nash_social_welfare_exploiter","benchmark/nash_social_welfare_exploiter_smoothed","combat/game_conflicts_min","combat/phase_conflicts_num","commands/avg_convoys_num","commands/phase_convoy_num","commands/phase_support_num","conquest/phase_centers_gained_num","conquest/phase_centers_lost_num","fatal_exception_trace","orders/phase_valid_ratio_type_R","power/baseline_mean","power/baseline_std","power/exploiter_mean","power/exploiter_std","score/centers/ENG","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total"
"peach-sweep-1","8nejywmb","finished","gabrielmukobi","","","2023-09-10T06:45:34.000Z","2023-09-10T06:45:34.000Z","","","","","claude-2.0","10","4","gpt-3.5-turbo-16k-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","wzmokr4w","471eaf02841ed7f54104743af4570bc97562b378","2023-09-10T00:42:28.000Z","21786","john17.stanford.edu","-","o67j31gk","0","100","10.9","0.8776500061303981","2.610232523202907","2.6102335567523416","0.2296296296296296","0.7","2.5","","0","0","0.55","3","11","6.25","3.25","0.21795815295815296","0.2","0.0101010101010101","4","0","0","0","27","0.7941176470588235","0.5","5","0","0","289018","116.93142","3319678","4.180952380952381","0.16004845478466265","0.07937695950432108","1.5238095238095235","32","0.53125","0.1829782513998043","","1","27.686166797743898","0","1","25.471694094794135","0","0.8388323713323712","2","1","0.5","0.5","1","2.2142857142857144","0.880630571852711","3","4","4","3","6","4","0","0","0","2","0","2","0","19","20","33","21","25","38","33","354.9047619047619","702","313","184","6637","8148","6529","5762","6991.9047619047615","8429","6808","5962","136","1.6496925582177937","2158","2294","38","27","25","19","189","2.7","4","2.6","1.5","3.2857142857142856","4","3","2","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"brisk-sweep-9","41s4hej5","finished","gabrielmukobi","","","2023-09-09T19:05:22.000Z","2023-09-09T19:05:22.000Z","","","","","claude-2.0","","3","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","j7iry8yb","e1cba2ddcc0c4d9c1361c9d90497d8b5ea133091","2023-09-09T14:18:02.000Z","17240","john10.stanford.edu","-","7jo5z8ma","","","","0.8062400567173529","2.875684034742419","2.8756850652463974","0.025","0.1","2.2","","0","0","0.2","1","4","3.2","2.4","0.41969696969696973","0.1","0.00909090909090909","0","0","","","25","0.7352941176470589","0.3","3","0","0","268662","112.59774","3215934","3.734920634920635","0.24430971555323","0.09476646919890472","1.5238095238095235","32","0.625","0.2663431275463638","10.9","1","25.57658820909167","","1","18.52941980816069","","0.6834260525049999","4","0","0","0","","1.7857142857142858","0.6998542122237652","3","3","3","3","7","3","0","0","0","0","0","0","0","27","26","27","26","24","55","25","295.9047619047619","654","264","185","5909.333333333333","6760","5888","5097","6205.238095238095","7414","6232","5321","79","1.2677048328332603","1713","1792","55","30","26","24","210","3.0000000000000004","5.5","2.6","2.4","3.5714285714285716","7","3","3","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"elated-sweep-8","8h4a3nvp","finished","gabrielmukobi","","","2023-09-09T17:20:52.000Z","2023-09-09T17:20:52.000Z","","","","","claude-2.0","","2","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","m086k1bn","e1cba2ddcc0c4d9c1361c9d90497d8b5ea133091","2023-09-09T12:51:08.000Z","16184","john10.stanford.edu","-","7jo5z8ma","","","","0.883400640753582","2.534799465378126","2.5348005322626865","0.041666666666666664","0.1","2.2","","0","0","0.2","1","4","5.55","1.5","0.10957070707070708","0.05","0.0027777777777777775","1","0","0","0","24","0.7058823529411765","0.2","2","0.3","3","249863","108.82184999999998","3127669","3.623253968253968","0.25153465202974845","0.0960033112874912","3.619047619047619","76","0.1973684210526316","0.1031478519035915","10.9","0.9968253968253968","24.842433031948783","","1","30.298248256955823","","0.9474941724941724","0","0","","","1","1.7857142857142858","0.4517539514526257","2","3","4","4","5","3","0","1","0","0","0","0","0","18","17","16","33","35","41","29","436.0952380952381","676","394","236","6346.857142857143","7408","6359","5469","6782.952380952381","7878","6787","5870","90","1.1898536896333098","2061","2151","41","27","29","16","189","2.6999999999999997","4.2","2.6","1.2","3.2857142857142856","5","3","2","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"hopeful-sweep-7","amz7mlam","finished","gabrielmukobi","","","2023-09-09T14:17:56.000Z","2023-09-09T14:17:56.000Z","","","","","claude-2.0","","1","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","j7iry8yb","e1cba2ddcc0c4d9c1361c9d90497d8b5ea133091","2023-09-09T09:20:39.000Z","17837","john10.stanford.edu","-","7jo5z8ma","","","","0.8714108250137662","2.1351767031535056","2.135177757543397","0.16","0.5","2.3","1","2","0","0.05","1","1","8.45","1.3","0.09897727272727272","0.05","0.0025","2","0","0","0","24","0.7058823529411765","0.2","2","0.1","1","289194","111.05997","3123611","4.704761904761905","0.08247333156579653","0.05103021472628955","3.4761904761904763","73","0.2328767123287671","0.08427365682940811","10.9","1","27.503097006631275","","1","30.35154346057347","","0.908350122100122","10","6","0.6","0.6","1","2","0.4629100498862757","3","3","4","3","6","2","1","1","1","0","0","0","1","15","14","23","32","22","35","17","453.57142857142856","785","393","214","6478.619047619048","8050","6611","5278","6932.190476190476","8723","6902","5579","126","1.5364846312440932","3487","3613","35","22.571428571428573","22","14","158","2.257142857142857","3.9","2.1","1","2.857142857142857","6","2","1","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"gentle-sweep-6","fdws43c6","finished","gabrielmukobi","","","2023-09-09T12:51:02.000Z","2023-09-09T12:51:02.000Z","","","","","claude-2.0","","0","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","m086k1bn","e1cba2ddcc0c4d9c1361c9d90497d8b5ea133091","2023-09-09T07:38:11.000Z","18771","john10.stanford.edu","-","7jo5z8ma","","","","0.8540512501296815","3.006837640099764","3.0068386554472397","0","0","2.1","","0","0","0.2","2","4","4.75","2.35","0.30890151515151515","0.1","0.005397727272727273","1","0","0","0","27","0.7941176470588235","0.5","5","0.1","1","296291","112.90806","3171020","4.3365873015873015","0.09301908169989824","0.055381006739255674","5.238095238095238","110","0.18181818181818185","0.06143241291357478","10.9","0.9984126984126984","27.2672382357007","","1","28.87787854103815","","0.7696234049175226","3","0","0","0","1","2","0.4629100498862757","4","4","3","5","5","3","0","0","1","0","0","0","0","30","28","24","27","36","42","27","445.57142857142856","578","426","341","6478.761904761905","8036","6622","5363","6924.333333333333","8544","7070","5764","140","1.9529454349540176","2635","2775","42","30.571428571428573","28","24","214","3.057142857142857","4.2","2.7","2.1","3.7142857142857144","5","3","3","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"spring-sweep-5","3h2m44ju","finished","gabrielmukobi","","","2023-09-09T09:20:34.000Z","2023-09-09T09:20:34.000Z","","","","","claude-instant-1.2","","4","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","j7iry8yb","e1cba2ddcc0c4d9c1361c9d90497d8b5ea133091","2023-09-09T06:34:40.000Z","9954","john10.stanford.edu","-","7jo5z8ma","","","","0.8590901545803505","1.20276020782225","1.2027614748954298","0.1","0.3","2.3","0","0","3","0.4","2","8","13","1.25","0.07321234321234323","0.15","0.012738095238095238","5","0","0","0","22","0.6470588235294118","0","0","0","0","205834","91.24302","2629766","2.671587301587301","0.01866955470100629","0.041628886049297285","2.761904761904762","58","0","0.038873381528597525","10.9","0.9952380952380953","8.61363841442835","","1","7.894797904150827","","0.9349735449735448","7","6","0.8571428571428571","0.8571428571428571","1","1.7142857142857142","0.3642156795423418","3","3","3","3","4","3","0","0","1","0","0","1","0","13","15","3","13","21","12","19","313.6190476190476","461","293","197","5470.047619047619","6021","5453","4983","5783.666666666667","6253","5850","5257","254","2.893846191931516","1097","1351","21","13.714285714285714","13","3","96","1.3714285714285714","2.3","1.4","0.3","2.857142857142857","3","3","2","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"glad-sweep-4","ohdxra8p","finished","gabrielmukobi","","","2023-09-09T07:38:06.000Z","2023-09-09T07:38:06.000Z","","","","","claude-instant-1.2","","3","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","m086k1bn","a5703179038faf30e2fe57232bfa09a28544f571","2023-09-09T02:52:44.000Z","17122","john10.stanford.edu","-","7jo5z8ma","","","","0.8553630084512438","0","0.17803796659080237","0.21428571428571427","0.2","1.5","","0","0","0.1","1","2","11.9","0.7","0.04739538239538239","0.2","0.01755050505050505","9","0","0","0","23","0.6764705882352942","0.1","1","0","0","215759","93.23286","2676244","2.7174603174603176","0.026413758289980233","0.036273874439534184","3.047619047619047","64","0.015625","0.03914259579742499","10.9","0.9968253968253968","12.873182756408816","","1","10.243800889878043","","0.8927930402930403","3","1","0.3333333333333333","0.3333333333333333","0.8472222222222222","2.2857142857142856","0.6998542122237652","3","4","3","3","4","3","3","0","1","0","3","2","0","0","24","25","25","1","18","21","372.7142857142857","650","345","240","5784.9047619047615","6463","5766","5225","6157.619047619048","6869","6150","5578","112","1.5056031560525298","1306","1418","25","16.285714285714285","21","0","114","1.6285714285714286","2.6","2.2","0","2","3","3","0","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"blooming-sweep-3","0flmhmbp","finished","gabrielmukobi","","","2023-09-09T06:34:32.000Z","2023-09-09T06:34:32.000Z","","","","","claude-instant-1.2","","2","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","j7iry8yb","a5703179038faf30e2fe57232bfa09a28544f571","2023-09-09T01:45:58.000Z","17314","john10.stanford.edu","-","7jo5z8ma","","","","0.8707967631497043","0","0.0036797278782123967","0.08333333333333333","0.1","1.1","","0","0","0.3","2","6","14.8","0.8","0.045350408105826065","0.1","0.006274509803921568","12","0","0","0","24","0.7058823529411765","0.2","2","0","0","206125","95.54412","2772554","2.332698412698413","0.025572907117249823","0.04245455703639884","2.4761904761904763","52","0","0.04217452281906352","10.9","0.9968253968253968","11.687123112148706","","1","8.959623473031181","","0.9096825396825398","3","2","0.5","0.5","1","2.5714285714285716","0.6776309271789385","3","4","4","3","4","3","3","3","3","0","3","0","0","0","0","5","30","0","29","21","323.76190476190476","632","298","205","5978.285714285715","6637","5901","5528","6302.047619047619","6881","6236","5802","106","1.4415760622359812","1152","1258","30","12.142857142857142","5","0","85","1.214285714285714","3.1","0.5","0","1.7142857142857142","4","1","0","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"trim-sweep-1","yvxc7c7n","finished","gabrielmukobi","","","2023-09-09T02:52:42.000Z","2023-09-09T02:52:42.000Z","","","","","claude-instant-1.2","","0","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","m086k1bn","a5703179038faf30e2fe57232bfa09a28544f571","2023-09-08T19:10:54.000Z","27708","john10.stanford.edu","-","7jo5z8ma","","","","0.8724920933581064","1.4335435487562351","1.4335446916088683","0.14814814814814814","0.3","1.7","0.5","1","1","0.05","1","1","12.4","0.55","0.03038410419989367","0.25","0.020035885167464115","8","0","0","0","23","0.6764705882352942","0.1","1","0","0","208453","92.36118","2661800","2.587301587301587","0.02132603092891183","0.0391193421359934","2.857142857142857","60","0.016666666666666666","0.03998336126848543","10.9","1","14.159104185255748","","1","9.45795016061692","","0.9410056918390252","3","3","1","1","0.9583333333333334","2.2142857142857144","0.920292766194652","3","4","3","3","4","3","0","0","2","0","0","4","2","16","18","15","25","24","6","8","299.5238095238095","625","273","201","5583.666666666667","6577","5529","5050","5883.190476190476","6922","5803","5295","116","1.6194517202675345","961","1077","25","16","16","6","112","1.6","2.7","1.6","0.6","2.142857142857143","3","3","0","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
"hardy-sweep-2","d03d07o3","finished","gabrielmukobi","","","2023-09-09T01:45:55.000Z","2023-09-09T01:45:55.000Z","","","","","claude-instant-1.2","","1","gpt-3.5-turbo-0613","","","","","","auto","false","0","","","","32","INFO","standard_welfare","3","10","false","0","","0","0","games","welfare-diplomacy-v3","","false","1","0.9","","j7iry8yb","a5703179038faf30e2fe57232bfa09a28544f571","2023-09-08T19:10:54.000Z","23701","john10.stanford.edu","-","7jo5z8ma","","","","0.8688764394646746","0","0.1966045498114264","0.25","0.3","1.2","1","2","0","0.4","2","8","12.95","1.4","0.09891681847564202","0.25","0.013382352941176474","10","1","0.09090909090909093","0","23","0.6764705882352942","0.1","1","0","0","212840","94.04385","2709115","2.6507936507936503","0.011411861876602442","0.037869929671477336","3","60","0","0.04433332568452091","10.9","0.9984126984126984","10.877769356246976","","0.9523809523809524","11.650603020191191","","0.9317460317460317","5","5","1","1","0.8333333333333334","2.5714285714285716","0.4948716593053935","3","3","4","3","4","3","3","2","1","1","1","3","2","0","12","16","22","16","12","14","343.25","522","309","218","5797.6","6937","5656.5","5131","6140.85","7215","6043.5","5399","113","1.3375612292438743","1061","1174","22","13.142857142857142","14","0","92","1.3142857142857145","2.3","1.3","0","1.4285714285714286","3","1","0","","","","","","0","0","0","0","0","0","0","","","","","","","3","0","0","0","0","0"
