agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
claude-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-2.0,1,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0
claude-2.0,2,2.0,1.0,5.0,0.0,2.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0
claude-2.0,3,3.0,2.0,8.0,1.0,4.0,9.0,5.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0
claude-2.0,4,4.0,3.0,10.0,3.0,7.0,12.0,9.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0
claude-2.0,5,6.0,5.0,13.0,6.0,10.0,15.0,13.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
claude-2.0,6,8.0,8.0,17.0,10.0,13.0,19.0,17.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
claude-2.0,7,10.0,11.0,21.0,14.0,16.0,24.0,21.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
claude-2.0,8,13.0,14.0,25.0,17.0,19.0,30.0,25.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
claude-2.0,9,16.0,17.0,29.0,19.0,22.0,34.0,29.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
claude-2.0,10,19.0,20.0,33.0,21.0,25.0,38.0,33.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
claude-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
claude-2.0,2,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
claude-2.0,3,6.0,5.0,6.0,5.0,4.0,9.0,5.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
claude-2.0,4,9.0,8.0,9.0,8.0,6.0,13.0,7.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
claude-2.0,5,12.0,11.0,12.0,11.0,9.0,20.0,10.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,6,15.0,14.0,15.0,14.0,12.0,27.0,13.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,7,18.0,17.0,18.0,17.0,15.0,34.0,16.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,8,21.0,20.0,21.0,20.0,18.0,41.0,19.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,9,24.0,23.0,24.0,23.0,21.0,48.0,22.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,10,27.0,26.0,27.0,26.0,24.0,55.0,25.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-2.0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0
claude-2.0,2,2.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
claude-2.0,3,4.0,3.0,1.0,5.0,7.0,7.0,8.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0
claude-2.0,4,6.0,5.0,2.0,9.0,11.0,11.0,11.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
claude-2.0,5,8.0,7.0,3.0,13.0,15.0,16.0,14.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
claude-2.0,6,10.0,9.0,4.0,17.0,19.0,21.0,17.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
claude-2.0,7,12.0,11.0,7.0,21.0,23.0,26.0,20.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,8,14.0,13.0,10.0,25.0,27.0,31.0,23.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,9,16.0,15.0,13.0,29.0,31.0,36.0,26.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,10,18.0,17.0,16.0,33.0,35.0,41.0,29.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-2.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0
claude-2.0,2,1.0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0
claude-2.0,3,3.0,1.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0
claude-2.0,4,6.0,2.0,8.0,8.0,7.0,6.0,6.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0
claude-2.0,5,7.0,4.0,10.0,12.0,9.0,9.0,8.0,3.0,3.0,3.0,4.0,3.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0
claude-2.0,6,8.0,6.0,12.0,16.0,11.0,13.0,10.0,3.0,3.0,3.0,4.0,3.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0
claude-2.0,7,9.0,8.0,15.0,20.0,13.0,18.0,12.0,3.0,3.0,3.0,4.0,3.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
claude-2.0,8,11.0,10.0,18.0,24.0,16.0,23.0,14.0,3.0,3.0,3.0,4.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
claude-2.0,9,13.0,12.0,21.0,28.0,19.0,29.0,16.0,3.0,3.0,3.0,4.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
claude-2.0,10,15.0,14.0,23.0,32.0,22.0,35.0,17.0,3.0,3.0,3.0,4.0,3.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
claude-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-2.0,1,0.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
claude-2.0,2,0.0,4.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0
claude-2.0,3,3.0,7.0,5.0,6.0,6.0,11.0,6.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
claude-2.0,4,6.0,10.0,7.0,9.0,10.0,15.0,9.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
claude-2.0,5,10.0,13.0,9.0,12.0,14.0,19.0,12.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
claude-2.0,6,14.0,16.0,12.0,15.0,18.0,23.0,15.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
claude-2.0,7,18.0,19.0,15.0,18.0,22.0,27.0,18.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
claude-2.0,8,22.0,22.0,18.0,21.0,26.0,32.0,21.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
claude-2.0,9,26.0,25.0,21.0,24.0,31.0,37.0,24.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-2.0,10,30.0,28.0,24.0,27.0,36.0,42.0,27.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
