agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
claude-instant-1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-instant-1.2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
claude-instant-1.2,2,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
claude-instant-1.2,3,0.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0
claude-instant-1.2,4,1.0,3.0,0.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0
claude-instant-1.2,5,2.0,4.0,0.0,5.0,8.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0
claude-instant-1.2,6,3.0,6.0,0.0,6.0,10.0,5.0,8.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0
claude-instant-1.2,7,5.0,7.0,0.0,7.0,12.0,6.0,10.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0
claude-instant-1.2,8,7.0,9.0,0.0,8.0,15.0,7.0,13.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0
claude-instant-1.2,9,10.0,12.0,1.0,10.0,18.0,9.0,16.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
claude-instant-1.2,10,13.0,15.0,3.0,13.0,21.0,12.0,19.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
claude-instant-1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-instant-1.2,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0
claude-instant-1.2,2,0.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0
claude-instant-1.2,3,0.0,5.0,4.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0
claude-instant-1.2,4,0.0,7.0,7.0,7.0,1.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0
claude-instant-1.2,5,0.0,9.0,10.0,10.0,1.0,7.0,7.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0
claude-instant-1.2,6,0.0,12.0,13.0,13.0,1.0,10.0,9.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0
claude-instant-1.2,7,0.0,15.0,16.0,16.0,1.0,12.0,12.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0
claude-instant-1.2,8,0.0,18.0,19.0,19.0,1.0,14.0,15.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0
claude-instant-1.2,9,0.0,21.0,22.0,22.0,1.0,16.0,18.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0
claude-instant-1.2,10,0.0,24.0,25.0,25.0,1.0,18.0,21.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0
claude-instant-1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
claude-instant-1.2,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
