agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
gpt-3.5-turbo-16k-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-3.5-turbo-16k-0613,1,2.0,0.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0
gpt-3.5-turbo-16k-0613,2,4.0,0.0,5.0,6.0,2.0,8.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0
gpt-3.5-turbo-16k-0613,3,5.0,3.0,5.0,6.0,2.0,12.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,0.0,3.0,3.0,3.0,0.0,0.0
gpt-3.5-turbo-16k-0613,4,7.0,4.0,8.0,6.0,5.0,12.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,0.0,3.0,0.0,4.0,1.0
gpt-3.5-turbo-16k-0613,5,10.0,6.0,8.0,9.0,6.0,15.0,5.0,7.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,1.0,3.0,0.0,2.0,2.0,1.0
gpt-3.5-turbo-16k-0613,6,14.0,9.0,13.0,9.0,6.0,17.0,6.0,7.0,3.0,5.0,3.0,3.0,5.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0
gpt-3.5-turbo-16k-0613,7,17.0,9.0,15.0,12.0,9.0,19.0,6.0,7.0,3.0,5.0,3.0,3.0,5.0,1.0,4.0,3.0,3.0,0.0,0.0,3.0,1.0
gpt-3.5-turbo-16k-0613,8,20.0,12.0,20.0,15.0,9.0,23.0,7.0,7.0,3.0,5.0,3.0,3.0,5.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0
gpt-3.5-turbo-16k-0613,9,24.0,12.0,22.0,15.0,12.0,27.0,7.0,7.0,3.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0
gpt-3.5-turbo-16k-0613,10,28.0,12.0,27.0,18.0,12.0,27.0,8.0,7.0,3.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,0.0,0.0,3.0,5.0,0.0
gpt-3.5-turbo-16k-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-3.5-turbo-16k-0613,1,0.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0
gpt-3.5-turbo-16k-0613,2,2.0,5.0,3.0,6.0,3.0,8.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0
gpt-3.5-turbo-16k-0613,3,2.0,5.0,6.0,9.0,5.0,9.0,6.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0
gpt-3.5-turbo-16k-0613,4,4.0,8.0,6.0,9.0,6.0,10.0,9.0,2.0,3.0,3.0,3.0,5.0,6.0,3.0,0.0,0.0,3.0,3.0,4.0,5.0,0.0
gpt-3.5-turbo-16k-0613,5,4.0,8.0,9.0,12.0,8.0,13.0,9.0,2.0,3.0,3.0,3.0,5.0,6.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0
gpt-3.5-turbo-16k-0613,6,6.0,11.0,9.0,12.0,8.0,14.0,9.0,2.0,3.0,3.0,3.0,5.0,6.0,3.0,0.0,0.0,3.0,3.0,5.0,5.0,3.0
gpt-3.5-turbo-16k-0613,7,6.0,11.0,12.0,15.0,13.0,20.0,12.0,2.0,3.0,3.0,3.0,5.0,6.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo-16k-0613,8,7.0,14.0,12.0,15.0,15.0,23.0,12.0,4.0,3.0,3.0,2.0,5.0,6.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0
