agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
gpt-4-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-4-0613,1,2.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
gpt-4-0613,2,6.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
gpt-4-0613,3,10.0,2.0,3.0,5.0,6.0,8.0,7.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
gpt-4-0613,4,14.0,4.0,4.0,7.0,8.0,12.0,9.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
gpt-4-0613,5,18.0,7.0,6.0,9.0,11.0,17.0,12.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
gpt-4-0613,6,23.0,10.0,9.0,12.0,15.0,22.0,16.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gpt-4-0613,7,28.0,13.0,12.0,16.0,19.0,27.0,20.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4-0613,8,33.0,16.0,15.0,20.0,23.0,32.0,24.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4-0613,9,38.0,19.0,18.0,24.0,27.0,37.0,28.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4-0613,10,43.0,22.0,21.0,28.0,31.0,42.0,32.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4-0613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-4-0613,1,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0
gpt-4-0613,2,4.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0
gpt-4-0613,3,8.0,3.0,5.0,8.0,9.0,4.0,8.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0
gpt-4-0613,4,11.0,5.0,7.0,11.0,13.0,6.0,11.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0
gpt-4-0613,5,15.0,8.0,10.0,15.0,17.0,9.0,14.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
