agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
gpt-4-base,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-4-base,1,1.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0
gpt-4-base,2,4.0,4.0,5.0,5.0,1.0,0.0,0.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0
gpt-4-base,3,6.0,5.0,8.0,7.0,1.0,0.0,3.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,2.0,3.0,0.0,1.0,4.0,6.0,1.0
gpt-4-base,4,8.0,9.0,11.0,10.0,2.0,3.0,7.0,4.0,4.0,3.0,4.0,4.0,6.0,4.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0
gpt-4-base,5,11.0,10.0,14.0,14.0,6.0,8.0,8.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0
gpt-4-base,6,13.0,14.0,14.0,18.0,10.0,11.0,11.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0
gpt-4-base,7,19.0,18.0,17.0,21.0,14.0,11.0,14.0,9.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0
gpt-4-base,8,28.0,22.0,20.0,24.0,17.0,13.0,18.0,9.0,4.0,3.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
gpt-4-base,9,37.0,26.0,23.0,28.0,21.0,15.0,22.0,9.0,4.0,3.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4-base,10,43.0,30.0,26.0,32.0,25.0,17.0,23.0,9.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
gpt-4-base,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-4-base,1,0.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,1.0,1.0,3.0,3.0,3.0
gpt-4-base,2,3.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0
gpt-4-base,3,7.0,4.0,4.0,6.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,3.0,3.0,1.0,0.0,4.0,3.0
gpt-4-base,4,12.0,5.0,4.0,9.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,0.0,3.0,4.0,0.0,1.0,4.0,4.0
gpt-4-base,5,17.0,7.0,4.0,11.0,7.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,6.0,3.0,0.0,3.0,5.0,0.0,1.0,6.0,3.0
gpt-4-base,6,22.0,9.0,4.0,13.0,9.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,6.0,3.0,0.0,3.0,5.0,0.0,1.0,6.0,3.0
gpt-4-base,6,27.0,10.0,4.0,13.0,11.0,3.0,5.0,5.0,4.0,6.0,1.0,3.0,6.0,4.0,0.0,3.0,6.0,1.0,1.0,6.0,3.0
gpt-4-base,7,32.0,11.0,4.0,13.0,13.0,3.0,6.0,5.0,4.0,6.0,1.0,3.0,6.0,4.0,0.0,3.0,6.0,1.0,1.0,6.0,3.0
gpt-4-base,7,36.0,12.0,5.0,14.0,16.0,3.0,8.0,4.0,5.0,6.0,1.0,4.0,5.0,5.0,0.0,4.0,5.0,0.0,1.0,5.0,3.0
gpt-4-base,8,39.0,13.0,5.0,14.0,18.0,3.0,9.0,4.0,6.0,6.0,1.0,4.0,6.0,4.0,1.0,5.0,6.0,1.0,2.0,6.0,3.0
gpt-4-base,9,42.0,14.0,5.0,14.0,20.0,4.0,10.0,4.0,6.0,6.0,1.0,4.0,6.0,4.0,1.0,5.0,6.0,1.0,2.0,5.0,3.0
gpt-4-base,9,45.0,17.0,7.0,14.0,22.0,8.0,11.0,4.0,6.0,5.0,2.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0
gpt-4-base,10,49.0,18.0,9.0,16.0,25.0,11.0,13.0,4.0,6.0,6.0,2.0,4.0,4.0,6.0,0.0,5.0,4.0,0.0,1.0,1.0,4.0
gpt-4-base,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
gpt-4-base,1,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0
gpt-4-base,2,5.0,3.0,2.0,0.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,3.0,3.0,3.0,0.0,3.0,4.0
gpt-4-base,3,7.0,5.0,4.0,0.0,3.0,8.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,7.0,0.0,2.0,3.0,4.0,2.0,2.0,6.0
gpt-4-base,4,7.0,7.0,7.0,0.0,3.0,12.0,6.0,1.0,4.0,6.0,5.0,2.0,6.0,7.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0
