agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
random,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
random,1,2.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
random,2,3.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0
random,3,7.0,3.0,3.0,3.0,4.0,7.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0
random,4,10.0,3.0,3.0,3.0,4.0,11.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0
random,5,12.0,3.0,5.0,6.0,6.0,13.0,7.0,4.0,3.0,3.0,6.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0
random,6,12.0,4.0,6.0,7.0,6.0,17.0,7.0,4.0,3.0,3.0,6.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,1.0,4.0
random,7,16.0,4.0,7.0,9.0,7.0,21.0,10.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0
random,8,22.0,6.0,7.0,12.0,7.0,25.0,12.0,6.0,4.0,3.0,5.0,3.0,4.0,4.0,0.0,2.0,3.0,2.0,3.0,0.0,2.0
random,9,28.0,6.0,9.0,14.0,9.0,27.0,14.0,6.0,4.0,4.0,6.0,3.0,3.0,4.0,0.0,4.0,2.0,4.0,1.0,1.0,2.0
random,10,32.0,9.0,10.0,17.0,10.0,31.0,14.0,6.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,0.0,4.0
random,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
random,1,2.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0
random,2,5.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0
random,3,10.0,3.0,4.0,2.0,2.0,8.0,6.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0
random,4,14.0,5.0,6.0,2.0,2.0,8.0,6.0,5.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,1.0,0.0,5.0,3.0,4.0,3.0
random,5,19.0,8.0,6.0,5.0,4.0,12.0,8.0,5.0,3.0,1.0,6.0,3.0,5.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0
random,6,22.0,9.0,7.0,9.0,4.0,17.0,9.0,5.0,3.0,1.0,6.0,3.0,5.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,2.0
random,7,25.0,10.0,8.0,13.0,5.0,22.0,10.0,5.0,3.0,1.0,6.0,3.0,5.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
random,7,27.0,12.0,8.0,16.0,6.0,23.0,10.0,6.0,3.0,1.0,7.0,2.0,4.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0
random,8,31.0,12.0,8.0,22.0,7.0,24.0,10.0,6.0,3.0,1.0,7.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0
random,9,34.0,13.0,9.0,26.0,8.0,26.0,10.0,6.0,3.0,1.0,7.0,2.0,4.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,3.0
random,10,36.0,14.0,10.0,31.0,9.0,27.0,11.0,6.0,3.0,1.0,7.0,2.0,4.0,3.0,4.0,2.0,0.0,2.0,1.0,3.0,2.0
random,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
random,1,2.0,2.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0
random,2,6.0,2.0,6.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,4.0
random,3,8.0,4.0,11.0,5.0,5.0,7.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,0.0,3.0,2.0,1.0,4.0
random,4,11.0,4.0,14.0,7.0,8.0,7.0,7.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,3.0,2.0,2.0,1.0,4.0,1.0
random,5,13.0,7.0,15.0,9.0,9.0,10.0,9.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0
random,6,13.0,9.0,16.0,10.0,9.0,15.0,10.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,0.0,4.0
random,7,14.0,13.0,18.0,11.0,13.0,18.0,15.0,3.0,4.0,4.0,3.0,5.0,4.0,6.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0
random,8,14.0,14.0,19.0,11.0,17.0,22.0,18.0,3.0,4.0,4.0,3.0,5.0,4.0,6.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0
random,9,17.0,14.0,22.0,12.0,19.0,24.0,20.0,4.0,4.0,5.0,3.0,3.0,4.0,6.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0
random,10,18.0,16.0,23.0,13.0,20.0,26.0,25.0,3.0,4.0,6.0,4.0,3.0,3.0,6.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0
random,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
random,1,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
