"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","agent_model","disable_wandb","early_stop_max_years","entity","last_turn_year","log_level","map_name","max_message_rounds","max_years","model","no_save","output_folder","project","save","seed","summarizer_model","temperature","top_p","messages/num_avg","messages/num_total","meta/year_fractional","model/completion_time_sec_avg","orders/num_total","orders/num_valid","orders/valid_ratio_avg_avg","orders/valid_ratio_avg_avg/phase_A","orders/valid_ratio_avg_avg/phase_M","orders/valid_ratio_avg_avg_phase_A","orders/valid_ratio_avg_avg_phase_M","orders/valid_ratio_avg_avg_phase_R","orders/valid_ratio_total_avg","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","step","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total"
"rose-sweep-64","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:35:03.000Z","238","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","63","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","6","6","5","6","3","3","4","1","4","3","4","2","1","3","21","24","26","26","15","23","17","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","26","21.714285714285715","23","15","152"
"summer-sweep-63","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:33:18.000Z","241","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","62","","0.3","0.9","1","7","10.9","0.3","28","28","1","","","1","1","","1","6","3","4","5","2","5","4","3","2","3","1","1","1","0","28","11","10","28","14","29","21","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","29","20.142857142857142","21","10","141"
"twilight-sweep-62","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:33:12.000Z","241","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","61","","0.3","0.9","1","7","10.9","0.3","31","31","1","","","1","1","","1","4","3","5","5","3","4","4","1","2","5","4","0","4","2","23","11","17","21","13","24","17","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","24","18","17","11","126"
"splendid-sweep-61","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:33:08.000Z","240","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","60","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","6","1","6","6","2","5","3","2","1","2","5","1","3","1","28","10","14","18","8","20","17","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","28","16.428571428571427","17","8","115"
"sweepy-sweep-60","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:30:58.000Z","237","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","59","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","4","3","5","7","1","5","6","2","2","1","3","0","1","1","19","11","15","34","13","29","15","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","34","19.428571428571427","15","11","136"
"wild-sweep-59","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:28:52.000Z","250","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","58","","0.3","0.9","1","7","10.9","0.3","21","21","1","","","1","1","","1","4","3","7","3","2","10","2","2","2","0","0","0","5","0","16","11","29","16","18","42","17","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","42","21.285714285714285","17","11","149"
"wandering-sweep-58","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:28:43.000Z","264","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","57","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","6","3","4","2","2","5","5","1","0","3","0","1","4","2","21","10","12","12","11","27","23","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","27","16.571428571428573","12","10","116"
"olive-sweep-57","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:28:39.000Z","260","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","56","","0.3","0.9","1","7","10.9","0.3","28","28","1","","","1","1","","1","6","4","6","4","2","4","5","4","1","4","2","0","3","2","23","12","17","23","12","31","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","31","19.571428571428573","19","12","137"
"splendid-sweep-56","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:26:28.000Z","263","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","55","","0.3","0.9","1","7","10.9","0.3","25","25","1","","","1","1","","1","4","3","6","2","3","8","4","4","3","2","1","2","1","1","15","11","30","18","11","31","16","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","31","18.857142857142858","16","11","132"
"cerulean-sweep-55","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:24:45.000Z","241","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","54","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","5","3","4","3","2","6","3","1","3","3","1","1","1","1","16","13","16","20","11","23","27","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","27","18","16","11","126"
